sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-084__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	84
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-085__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	85
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-086__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	86
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-087__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	87
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-088__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	88
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-089__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	89
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-090__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	90
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-091__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	91
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-092__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	92
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-093__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	93
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-094__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	94
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-095__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	95
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-096__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	96
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-097__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	97
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-098__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	98
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-099__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	99
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-100__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	100
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-101__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	101
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-102__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	102
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-103__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	103
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-104__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	104
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-105__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	105
